angel	 rel signal 	s (std. deviation)	angle ber
60.01	0.66928	0.00718	38.89
60.02	0.03583	0.00308	38.9
60.03	0.00761	0.00576	38.91
60.04	0.00865	0.00524	38.92
60.05	0.00973	0.00534	38.93
60.06	0.01023	0.00525	38.94
60.07	0.01068	0.00556	38.95
60.08	0.01131	0.00588	38.96
60.09	0.02628	0.01023	38.97
60.1	0.02687	0.01019	38.98
60.11	0.02723	0.01032	38.99
60.12	0.02764	0.01025	39
60.13	0.02732	0.00949	39.01
60.14	0.02655	0.01032	39.02
60.15	0.02674	0.01059	39.03
60.16	0.02624	0.0104	39.04
60.17	0.01154	0.006	39.05
60.18	0.01086	0.00573	39.06
60.19	0.01073	0.00528	39.07
60.2	0.00991	0.00472	39.08
60.21	0.79717	0.00082	39.09
60.22	0.87916	0.00071	39.1
60.23	0.91416	0.00086	39.11
60.24	0.93727	0.00073	39.12
60.25	0.95437	0.00073	39.13
60.26	0.96513	0.00059	39.14
60.27	0.97517	0.00053	39.15
60.28	0.98291	0.0005	39.16
60.29	0.98589	0.00076	39.17
60.3	0.98399	0.00084	39.18
60.31	0.97865	0.00071	39.19
60.32	0.96884	0.00083	39.2
60.33	0.95681	0.001	39.21
60.34	0.93913	0.00078	39.22
60.35	0.92176	0.0006	39.23
60.36	0.88879	0.00083	39.24
60.37	0.82046	0.00053	39.25
60.38	0.3807	0.01116	39.26
60.39	0.0356	0.00308	39.27
60.4	0.04076	0.00926	39.28
60.41	0.04591	0.01196	39.29
60.42	0.047	0.01167	39.3
60.43	0.04844	0.01044	39.31
60.44	0.05147	0.00872	39.32
60.45	0.05156	0.00791	39.33
60.46	0.04808	0.00553	39.34
60.47	0.04709	0.00358	39.35
60.48	0.04749	0.00285	39.36
60.49	0.04682	0.00471	39.37
60.5	0.04505	0.00571	39.38
60.51	0.03953	0.00534	39.39
60.52	0.04333	0.00513	39.4
60.53	0.03736	0.00558	39.41
60.54	0.03691	0.00536	39.42
60.55	0.03637	0.00513	39.43
60.56	0.03524	0.00601	39.44
60.57	0.03415	0.00644	39.45
60.58	0.81752	0.00077	39.46
60.59	0.88527	0.00067	39.47
60.6	0.91566	0.00072	39.48
60.61	0.93465	0.00066	39.49
60.62	0.95129	0.00093	39.5
60.63	0.96644	0.00102	39.51
60.64	0.97734	0.00072	39.52
60.65	0.98417	0.00097	39.53
60.66	0.98621	0.00052	39.54
60.67	0.98471	0.00081	39.55
60.68	0.97825	0.00066	39.56
60.69	0.96947	0.00077	39.57
60.7	0.95753	0.00073	39.58
60.71	0.94103	0.00081	39.59
60.72	0.92407	0.00067	39.6
60.73	0.90277	0.00078	39.61
60.74	0.8599	0.00131	39.62
60.75	0.74213	0.00197	39.63
60.76	0.0084	0.01181	39.64
60.77	0.00881	0.01214	39.65
60.78	0.00922	0.01157	39.66
60.79	0.0103	0.01094	39.67
60.8	0.01152	0.00954	39.68
60.81	0.00822	0.01212	39.69
60.82	0.00899	0.01101	39.7
60.83	0.00931	0.01143	39.71
60.84	0.00971	0.01141	39.72
60.85	0.01035	0.01093	39.73
60.86	0.0117	0.01027	39.74
60.87	0.01179	0.01007	39.75
60.88	0.01234	0.01041	39.76
60.89	0.01261	0.00979	39.77
60.9	0.01284	0.01016	39.78
60.91	0.01329	0.00874	39.79
60.92	0.01406	0.00918	39.8
60.93	0.0136	0.00841	39.81
60.94	0.46753	0.01399	39.82
60.95	0.86514	0.00073	39.83
60.96	0.90024	0.00083	39.84
60.97	0.92022	0.00091	39.85
60.98	0.93954	0.00073	39.86
60.99	0.95401	0.00073	39.87
61	0.96735	0.00105	39.88
61.01	0.97829	0.00049	39.89
61.02	0.98521	0.00053	39.9
61.03	0.98793	0.00088	39.91
61.04	0.98318	0.00086	39.92
61.05	0.97571	0.00088	39.93
61.06	0.96531	0.00078	39.94
61.07	0.95414	0.00093	39.95
61.08	0.93736	0.00108	39.96
61.09	0.92081	0.00059	39.97
61.1	0.89775	0.00072	39.98
61.11	0.85795	0.00096	39.99
61.12	0.71351	0.0022	40
61.13	0.01401	0.00858	40.01
61.14	0.01388	0.00867	40.02
61.15	0.00994	0.00282	40.03
61.16	0.00962	0.00362	40.04
61.17	0.00976	0.00346	40.05
61.18	0.00981	0.00347	40.06
61.19	0.00981	0.00355	40.07
61.2	0.00985	0.00341	40.08
61.21	0.0099	0.00318	40.09
61.22	0.01008	0.00299	40.1
61.23	0.00971	0.00425	40.11
61.24	0.01211	0.00685	40.12
61.25	0.01066	0.005	40.13
61.26	0.00949	0.00405	40.14
61.27	0.00962	0.00336	40.15
61.28	0.00999	0.00317	40.16
61.29	0.00967	0.00419	40.17
61.3	0.00867	0.00499	40.18
61.31	0.79143	0.00091	40.19
61.32	0.87496	0.00082	40.2
61.33	0.90942	0.00099	40.21
61.34	0.93017	0.00058	40.22
61.35	0.94713	0.00067	40.23
61.36	0.96147	0.00095	40.24
61.37	0.97241	0.00053	40.25
61.38	0.98078	0.00087	40.26
61.39	0.98553	0.00063	40.27
61.4	0.98566	0.00093	40.28
61.41	0.98575	0.00077	40.29
61.42	0.97802	0.00066	40.3
61.43	0.96427	0.00072	40.31
61.44	0.95138	0.00096	40.32
61.45	0.93433	0.00076	40.33
61.46	0.9105	0.00123	40.34
61.47	0.87378	0.00077	40.35
61.48	0.81399	0.00103	40.36
61.49	0.46943	0.0054	40.37
61.5	0.00696	0.00582	40.38
61.51	0.00804	0.00564	40.39
61.52	0.00949	0.00402	40.4
61.53	0.00985	0.00344	40.41
61.54	0.00953	0.00366	40.42
61.55	0.00931	0.00329	40.43
61.56	0.00967	0.00377	40.44
61.57	0.01121	0.00631	40.45
61.58	0.0099	0.00466	40.46
61.59	0.00953	0.00392	40.47
61.6	0.00981	0.00344	40.48
61.61	0.00931	0.0036	40.49
61.62	0.00926	0.00337	40.5
61.63	0.00931	0.00384	40.51
61.64	0.0094	0.00347	40.52
61.65	0.0094	0.00322	40.53
61.66	0.00949	0.00397	40.54
61.67	0.01211	0.00949	40.55
61.68	0.8272	0.00072	40.56
61.69	0.87943	0.00083	40.57
61.7	0.91353	0.00071	40.58
61.71	0.93302	0.00092	40.59
61.72	0.9489	0.0006	40.6
61.73	0.96102	0.00073	40.61
61.74	0.97278	0.00084	40.62
61.75	0.9811	0.00057	40.63
61.76	0.98598	0.00072	40.64
61.77	0.98639	0.00043	40.65
61.78	0.98358	0.00085	40.66
61.79	0.97644	0.00092	40.67
61.8	0.9683	0.00043	40.68
61.81	0.95446	0.00053	40.69
61.82	0.93863	0.00093	40.7
61.83	0.9181	0.00052	40.71
61.84	0.88463	0.00066	40.72
61.85	0.83538	0.0009	40.73
61.86	0.32363	0.00251	40.74
61.87	0.01017	0.00416	40.75
61.88	0.01284	0.00727	40.76
61.89	0.01202	0.00597	40.77
61.9	0.01008	0.00398	40.78
61.91	0.00976	0.0029	40.79
61.92	0.00999	0.00327	40.8
61.93	0.01008	0.00397	40.81
61.94	0.00822	0.00511	40.82
61.95	0.00655	0.00542	40.83
61.96	0.00564	0.00507	40.84
61.97	0.00397	0.00458	40.85
61.98	0.00295	0.00548	40.86
61.99	0.00064	0.00485	40.87
62	0.00973	0.00497	40.88
62.01	0.01113	0.00579	40.89
62.02	0.01507	0.00793	40.9
62.03	0.02131	0.00968	40.91
62.04	0.02642	0.0101	40.92
62.05	0.83724	0.00073	40.93
62.06	0.88911	0.00076	40.94
62.07	0.91977	0.00073	40.95
62.08	0.93945	0.00061	40.96
62.09	0.95337	0.00072	40.97
62.1	0.96459	0.00056	40.98
62.11	0.97472	0.00093	40.99
62.12	0.98128	0.00061	41
62.13	0.98304	0.00077	41.01
62.14	0.98422	0.00083	41.02
62.15	0.9815	0.00073	41.03
62.16	0.97372	0.00087	41.04
62.17	0.96359	0.00096	41.05
62.18	0.95021	0.00072	41.06
62.19	0.93809	0.00097	41.07
62.2	0.91444	0.00081	41.08
62.21	0.88581	0.00052	41.09
62.22	0.82562	0.00094	41.1
62.23	0.27483	0.00381	41.11
62.24	0.04442	0.00584	41.12
62.25	0.04351	0.00589	41.13
62.26	0.04261	0.00495	41.14
62.27	0.04094	0.00388	41.15
62.28	0.03831	0.00497	41.16
62.29	0.03714	0.00525	41.17
62.3	0.03732	0.00562	41.18
62.31	0.04139	0.00452	41.19
62.32	0.03958	0.00513	41.2
62.33	0.0375	0.0048	41.21
62.34	0.03736	0.00472	41.22
62.35	0.03641	0.00489	41.23
62.36	0.03438	0.00573	41.24
62.37	0.03198	0.00595	41.25
62.38	0.02909	0.00525	41.26
62.39	0.02741	0.00507	41.27
62.4	0.02655	0.0056	41.28
62.41	0.71898	0.00294	41.29
62.42	0.8636	0.00063	41.3
62.43	0.89847	0.00072	41.31
62.44	0.92583	0.00103	41.32
62.45	0.94252	0.00066	41.33
62.46	0.95817	0.00059	41.34
62.47	0.96943	0.00075	41.35
62.48	0.97798	0.00061	41.36
62.49	0.98494	0.00103	41.37
